version,2.2.0
info,balls_per_over,6
info,team,India
info,team,Netherlands
info,gender,male
info,season,2022/23
info,date,2022/10/27
info,event,ICC Men's T20 World Cup
info,match_number,23
info,venue,Sydney Cricket Ground
info,city,Sydney
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,SA Yadav
info,umpire,Ahsan Raza
info,umpire,MA Gough
info,reserve_umpire,L Rusere
info,tv_umpire,RJ Tucker
info,match_referee,BC Broad
info,winner,India
info,winner_runs,56
info,player,India,KL Rahul
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,SA Yadav
info,player,India,AR Patel
info,player,India,HH Pandya
info,player,India,KD Karthik
info,player,India,R Ashwin
info,player,India,Mohammed Shami
info,player,India,B Kumar
info,player,India,Arshdeep Singh
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,BFW de Leede
info,player,Netherlands,CN Ackermann
info,player,Netherlands,TLW Cooper
info,player,Netherlands,SA Edwards
info,player,Netherlands,TJG Pringle
info,player,Netherlands,LV van Beek
info,player,Netherlands,Shariz Ahmad
info,player,Netherlands,FJ Klaassen
info,player,Netherlands,PA van Meekeren
info,registry,people,AR Patel,2e171977
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,B Kumar,2e81a32d
info,registry,people,BC Broad,d6a7dd38
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,CN Ackermann,e734d090
info,registry,people,DJ Hooda,73ad96ed
info,registry,people,FJ Klaassen,c042b412
info,registry,people,HH Pandya,dbe50b21
info,registry,people,KD Karthik,c03f1114
info,registry,people,KL Rahul,b17e2f24
info,registry,people,L Rusere,6a4734ae
info,registry,people,LV van Beek,782fb776
info,registry,people,MA Gough,76752ac8
info,registry,people,MP O'Dowd,b699df47
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,R Ashwin,495d42a5
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Yadav,271f83cd
info,registry,people,Shariz Ahmad,7595b47f
info,registry,people,TJG Pringle,8ce2080b
info,registry,people,TLW Cooper,2318ba22
info,registry,people,V Kohli,ba607b88
info,registry,people,Vikramjit Singh,2a9eee66
