version,2.2.0
info,balls_per_over,6
info,team,New Zealand
info,team,Ireland
info,gender,male
info,season,2022/23
info,date,2022/11/04
info,event,ICC Men's T20 World Cup
info,match_number,37
info,venue,Adelaide Oval
info,city,Adelaide
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,KS Williamson
info,umpire,HDPK Dharmasena
info,umpire,RK Illingworth
info,reserve_umpire,AT Holdstock
info,tv_umpire,Aleem Dar
info,match_referee,RS Madugalle
info,winner,New Zealand
info,winner_runs,35
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,KS Williamson
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,TG Southee
info,player,New Zealand,IS Sodhi
info,player,New Zealand,LH Ferguson
info,player,New Zealand,TA Boult
info,player,Ireland,PR Stirling
info,player,Ireland,A Balbirnie
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,GJ Delany
info,player,Ireland,GH Dockrell
info,player,Ireland,C Campher
info,player,Ireland,F Hand
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Aleem Dar,f02778d1
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,F Hand,e3fe4b49
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,HT Tector,59ea70a4
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,J Little,9061a703
info,registry,people,JDS Neesham,9219eff0
info,registry,people,KS Williamson,d027ba9f
info,registry,people,L Tucker,3979b5e0
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MR Adair,fc55ec67
info,registry,people,PR Stirling,cf494ffe
info,registry,people,RK Illingworth,20672246
info,registry,people,RS Madugalle,766b5798
info,registry,people,TA Boult,a818c1be
info,registry,people,TG Southee,13c35c9e
