version,2.2.0
info,balls_per_over,6
info,team,Oman
info,team,Bahrain
info,gender,male
info,season,2022/23
info,date,2022/11/19
info,event,Desert Cup T20I Series
info,match_number,10
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Zeeshan Maqsood
info,umpire,Harikrishna Pillai
info,umpire,Rahul Asher
info,tv_umpire,Azad KR
info,match_referee,Hanoz Iqbal
info,winner,Oman
info,winner_runs,106
info,player,Oman,KH Prajapati
info,player,Oman,Jatinder Singh
info,player,Oman,Shoaib Khan
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Mohammad Nadeem
info,player,Oman,Rafiullah
info,player,Oman,Sandeep Goud
info,player,Oman,Bilal Khan
info,player,Oman,Kaleemullah
info,player,Oman,S Shrivastava
info,player,Oman,Suraj Kumar
info,player,Bahrain,DK Mathias
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Haider Butt
info,player,Bahrain,Danish Jasnaik
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Sachin Kumar
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Imran Khan
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Azad KR,d620b86a
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,DK Mathias,bec5cab9
info,registry,people,Danish Jasnaik,d24ad3e5
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Hanoz Iqbal,28f14bf7
info,registry,people,Harikrishna Pillai,ed918c90
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Rafiullah,369cc49c
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Shrivastava,ac166f77
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Sachin Kumar,b76b2d25
info,registry,people,Sandeep Goud,4e1c9f6e
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Suraj Kumar,bb9d73d8
info,registry,people,Zeeshan Maqsood,34464143
