version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Tanzania
info,gender,male
info,season,2022/23
info,date,2022/12/19
info,event,Tri-Nation T20 Cup (Rwanda)
info,match_number,11
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,SA Jumbe
info,umpire,Itangishaka Olivier
info,umpire,John Mayeku
info,reserve_umpire,Patric Makumbi
info,winner,Tanzania
info,winner_wickets,5
info,player,Uganda,S Sesazi
info,player,Uganda,R Lutaaya
info,player,Uganda,K Waiswa
info,player,Uganda,CN Kakuru
info,player,Uganda,P Murungi
info,player,Uganda,C Kyewuta
info,player,Uganda,B Masaba
info,player,Uganda,J Baguma
info,player,Uganda,F Nsubuga
info,player,Uganda,Bilal Hassun
info,player,Uganda,H Ssenyondo
info,player,Tanzania,II Selemani
info,player,Tanzania,AJ Jabiri
info,player,Tanzania,K Nassoro
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,MO Kitunda
info,player,Tanzania,AM Kimote
info,player,Tanzania,SA Jumbe
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,JJ Nyambo
info,player,Tanzania,YM Nkanya
info,player,Tanzania,RK Kiseto
info,registry,people,AJ Jabiri,90624d37
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,B Masaba,f33cfd25
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,C Kyewuta,395695ce
info,registry,people,CN Kakuru,f6aed283
info,registry,people,F Nsubuga,87e33d07
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,II Selemani,b2dadc51
info,registry,people,Itangishaka Olivier,0ee3bb49
info,registry,people,J Baguma,8b46fc4f
info,registry,people,JJ Nyambo,ffb3b559
info,registry,people,John Mayeku,9d819a32
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,K Waiswa,a3a275ec
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,RK Kiseto,780d1997
info,registry,people,S Sesazi,c2c975f9
info,registry,people,SA Jumbe,91056862
info,registry,people,YM Nkanya,9238dd92
