version,2.2.0
info,balls_per_over,6
info,team,Cayman Islands
info,team,Panama
info,gender,male
info,season,2022/23
info,date,2023/03/02
info,event,ICC Men's T20 World Cup Americas Region Qualifier
info,match_number,7
info,venue,"Hurlingham Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Cayman Islands
info,toss_decision,bat
info,player_of_match,RA Sealy
info,umpire,AR Maddela
info,umpire,N Duguid
info,reserve_umpire,Vijaya Mallela
info,match_referee,Reon King
info,winner,Cayman Islands
info,winner_runs,12
info,player,Cayman Islands,YSD Seneveratne
info,player,Cayman Islands,BKB Corbin
info,player,Cayman Islands,P Manning
info,player,Cayman Islands,RA Sealy
info,player,Cayman Islands,AF Ifill
info,player,Cayman Islands,P Chin
info,player,Cayman Islands,J Buchanan
info,player,Cayman Islands,D Johnson
info,player,Cayman Islands,C Wright
info,player,Cayman Islands,T Hewa
info,player,Cayman Islands,A Wright
info,player,Panama,Mahmud Jasat
info,player,Panama,M Sohel Patel
info,player,Panama,Sohel Patel
info,player,Panama,Irfan Hafejee
info,player,Panama,VC Ahir
info,player,Panama,A Natubhai Ahir
info,player,Panama,FL Patel
info,player,Panama,RDB Ahir
info,player,Panama,Abdullah Jasat
info,player,Panama,HJ Patel
info,player,Panama,KB Ahir
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,A Wright,4bb7f51e
info,registry,people,AF Ifill,0e6c2f00
info,registry,people,AR Maddela,5c861579
info,registry,people,Abdullah Jasat,5a42db78
info,registry,people,BKB Corbin,036b8660
info,registry,people,C Wright,d465c6d7
info,registry,people,D Johnson,d406e303
info,registry,people,FL Patel,e205ce8b
info,registry,people,HJ Patel,2e3c45d3
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,J Buchanan,01127aa9
info,registry,people,KB Ahir,214cf493
info,registry,people,M Sohel Patel,40a5bcf9
info,registry,people,Mahmud Jasat,97e36a0f
info,registry,people,N Duguid,64495506
info,registry,people,P Chin,21267b60
info,registry,people,P Manning,f06b5585
info,registry,people,RA Sealy,1e98804a
info,registry,people,RDB Ahir,2f6f44bb
info,registry,people,Reon King,20fbf68c
info,registry,people,Sohel Patel,9ac70727
info,registry,people,T Hewa,3c19f045
info,registry,people,VC Ahir,0bb68705
info,registry,people,Vijaya Mallela,85b6244a
info,registry,people,YSD Seneveratne,0f71478c
