version,2.2.0
info,balls_per_over,6
info,team,Portugal
info,team,Gibraltar
info,gender,male
info,season,2023
info,date,2023/04/10
info,event,Gibraltar tour of Portugal
info,match_number,1
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,Portugal
info,toss_decision,bat
info,player_of_match,Kuldeep
info,winner,Portugal
info,winner_runs,124
info,player,Portugal,Kuldeep
info,player,Portugal,SP Gomes
info,player,Portugal,ARA Chambers
info,player,Portugal,Amandeep Singh
info,player,Portugal,M Machado
info,player,Portugal,Najjam Shahzad
info,player,Portugal,Zohaib Sarwar
info,player,Portugal,Amir Zaib
info,player,Portugal,Syed Maisam Ali
info,player,Portugal,Sirajullah Khadim
info,player,Portugal,F Stoman
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,PA Raikes
info,player,Gibraltar,A Reyes
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,K Nestor
info,player,Gibraltar,S Bodha
info,player,Gibraltar,J Horrocks
info,player,Gibraltar,K Mirpuri
info,registry,people,A Reyes,fd2b8c06
info,registry,people,ARA Chambers,8db27a28
info,registry,people,Amandeep Singh,d0d32c30
info,registry,people,Amir Zaib,973006cc
info,registry,people,BA Pai,716bf559
info,registry,people,F Stoman,69e53eb3
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,Kuldeep,61c48027
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Machado,fd34bcb0
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,PA Raikes,dfe5db8a
info,registry,people,S Bodha,00467a76
info,registry,people,SP Gomes,30acd4b7
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Syed Maisam Ali,e204b898
info,registry,people,Zohaib Sarwar,bd3cecc6
