version,2.2.0
info,balls_per_over,6
info,team,Sweden
info,team,Finland
info,gender,male
info,season,2023
info,date,2023/05/21
info,event,Nordic T20 Cup
info,match_number,10
info,venue,"Solvangs Park, Glostrup"
info,city,Copenhagen
info,toss_winner,Finland
info,toss_decision,field
info,player_of_match,Prashant Shukla
info,umpire,Atif Jamal
info,umpire,Fareedoon Bhatti
info,outcome,tie
info,eliminator,Finland
info,player,Sweden,Choudry Share Ali
info,player,Sweden,Imal Zuwak
info,player,Sweden,Abu Zar
info,player,Sweden,Zaker Taqawi
info,player,Sweden,W Boshoff
info,player,Sweden,Shahzeb Choudhry
info,player,Sweden,Samiullah Rahmani
info,player,Sweden,Saeed Ahmed
info,player,Sweden,Abdul Naser Baluch
info,player,Sweden,Khalid Zahid
info,player,Sweden,Prashant Shukla
info,player,Finland,PF Gallagher
info,player,Finland,Atif Rasheed
info,player,Finland,AK Mohan
info,player,Finland,NG Collins
info,player,Finland,Jordan O'Brien
info,player,Finland,VS Padhaal
info,player,Finland,Faheem Nellancheri
info,player,Finland,Amjad Sher
info,player,Finland,MB Tambe
info,player,Finland,Sumit Singh
info,player,Finland,Raaz Mohammad
info,registry,people,AK Mohan,d55474ac
info,registry,people,Abdul Naser Baluch,6a88d66d
info,registry,people,Abu Zar,27f77bd6
info,registry,people,Amjad Sher,3b4a8cfb
info,registry,people,Atif Jamal,364345ce
info,registry,people,Atif Rasheed,c7726eec
info,registry,people,Choudry Share Ali,5c037734
info,registry,people,Faheem Nellancheri,6513502f
info,registry,people,Fareedoon Bhatti,534c3dbe
info,registry,people,Imal Zuwak,1283e17b
info,registry,people,Jordan O'Brien,c31d7da1
info,registry,people,Khalid Zahid,5c93efb1
info,registry,people,MB Tambe,1c1bb0d5
info,registry,people,NG Collins,be3bdc15
info,registry,people,PF Gallagher,8e9d3dc4
info,registry,people,Parveen Kumar,babc65d3
info,registry,people,Prashant Shukla,0a15f357
info,registry,people,Raaz Mohammad,f83b77f9
info,registry,people,Saeed Ahmed,63d6e16e
info,registry,people,Samiullah Rahmani,d5c38041
info,registry,people,Shahzeb Choudhry,43f3c050
info,registry,people,Sumit Singh,6798b28e
info,registry,people,VS Padhaal,c4fb0b39
info,registry,people,W Boshoff,cad11a02
info,registry,people,Zaker Taqawi,d7074ddc
