version,2.2.0
info,balls_per_over,6
info,team,Australia
info,team,South Africa
info,gender,female
info,season,2023/24
info,date,2024/01/28
info,event,South Africa Women tour of Australia
info,match_number,2
info,venue,"Manuka Oval, Canberra"
info,city,Canberra
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,L Wolvaardt
info,umpire,CA Polosak
info,umpire,Eloise Sheridan
info,reserve_umpire,SE Dionysius
info,tv_umpire,S Redfern
info,match_referee,Dave Gilbert
info,winner,South Africa
info,winner_wickets,6
info,player,Australia,AJ Healy
info,player,Australia,BL Mooney
info,player,Australia,TM McGrath
info,player,Australia,EA Perry
info,player,Australia,P Litchfield
info,player,Australia,A Gardner
info,player,Australia,GM Harris
info,player,Australia,G Wareham
info,player,Australia,A Sutherland
info,player,Australia,H Graham
info,player,Australia,ML Schutt
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,A Bosch
info,player,South Africa,CL Tryon
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,N Mlaba
info,player,South Africa,M Klaas
info,player,South Africa,A Khaka
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Gardner,bc969efb
info,registry,people,A Khaka,0d518f89
info,registry,people,A Sutherland,65d9b6b6
info,registry,people,AJ Healy,321644de
info,registry,people,BL Mooney,52d1dbc8
info,registry,people,CA Polosak,26a360d2
info,registry,people,CL Tryon,4d4605e6
info,registry,people,Dave Gilbert,aa782370
info,registry,people,EA Perry,be150fc8
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,G Wareham,f0b4e47d
info,registry,people,GM Harris,72166006
info,registry,people,H Graham,99812d10
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,M Klaas,ce85fcaf
info,registry,people,ML Schutt,17608a6f
info,registry,people,N Mlaba,686362af
info,registry,people,N de Klerk,ea544967
info,registry,people,P Litchfield,4e6ef14f
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Redfern,5b038989
info,registry,people,SE Dionysius,ac886e6f
info,registry,people,T Brits,06659caa
info,registry,people,TM McGrath,ca5acfa4
