version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Nepal
info,gender,female
info,season,2023
info,date,2023/05/30
info,event,Nepal Women tour of Malaysia
info,match_number,2
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,RC Belbashi
info,umpire,D Sevakumaran
info,umpire,Nur Hijrah
info,reserve_umpire,Mathan Kumar
info,match_referee,Ramesh Menon
info,winner,Nepal
info,winner_wickets,7
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Wan Julia
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Nik Nur Atiela
info,player,Malaysia,Christina Baret
info,player,Malaysia,Aisya Eleesa
info,player,Nepal,K Kunwar
info,player,Nepal,SR Magar
info,player,Nepal,B Rawal
info,player,Nepal,RC Belbashi
info,player,Nepal,S Khadka
info,player,Nepal,A Karmacharya
info,player,Nepal,K Shrestha
info,player,Nepal,K Joshi
info,player,Nepal,J Pandey
info,player,Nepal,I Barma
info,player,Nepal,SC Kumari
info,registry,people,A Karmacharya,e1492aed
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,B Rawal,4d1cc284
info,registry,people,Christina Baret,b42d42b1
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,I Barma,521abce2
info,registry,people,J Pandey,e1214f03
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,K Shrestha,119de50f
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Mathan Kumar,da596754
info,registry,people,Nik Nur Atiela,cfdfe39c
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Nur Hijrah,6c068720
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,S Khadka,c96e51ba
info,registry,people,SC Kumari,4169ae00
info,registry,people,SR Magar,61c22ad0
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
