version,2.2.0
info,balls_per_over,6
info,team,France
info,team,Germany
info,gender,female
info,season,2023
info,date,2023/06/02
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_number,15
info,venue,"Grainville, St Saviour, Jersey"
info,city,St Saviour
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,PC McGeown
info,umpire,DH Mclean
info,umpire,J Naeem
info,reserve_umpire,AY Harris
info,match_referee,G McCrea
info,winner,France
info,winner_runs,13
info,player,France,IY Mckeon
info,player,France,L Wykes-Templeman
info,player,France,PC McGeown
info,player,France,Ganesh Pooja
info,player,France,AL Seddon
info,player,France,ME Violleau
info,player,France,Emma Patel
info,player,France,A Bester
info,player,France,TE Britton
info,player,France,PKM Mahawattage
info,player,France,DL Graham
info,player,Germany,A Bierwisch
info,player,Germany,CM Gough
info,player,Germany,A Doddaballapur
info,player,Germany,S Sadarangani
info,player,Germany,S Kolcharam
info,player,Germany,K Vijayaraghavan
info,player,Germany,S Mannan
info,player,Germany,Rameesha Shahid
info,player,Germany,MS Beresford
info,player,Germany,SR McAnanama-Brereton
info,player,Germany,EC Bargna
info,registry,people,A Bester,047d293e
info,registry,people,A Bierwisch,b51d654f
info,registry,people,A Doddaballapur,fe4f5d2b
info,registry,people,AL Seddon,d12ec7b3
info,registry,people,AY Harris,90d95b82
info,registry,people,CM Gough,f1328a90
info,registry,people,DH Mclean,281d4749
info,registry,people,DL Graham,907e30d9
info,registry,people,EC Bargna,9908d470
info,registry,people,Emma Patel,030a38e0
info,registry,people,G McCrea,46f4a901
info,registry,people,Ganesh Pooja,ab144207
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,J Naeem,0dc3fee0
info,registry,people,K Vijayaraghavan,048da365
info,registry,people,L Wykes-Templeman,46c9b2bc
info,registry,people,ME Violleau,69f47625
info,registry,people,MS Beresford,26eb73f9
info,registry,people,PC McGeown,1aabd6fc
info,registry,people,PKM Mahawattage,a413b433
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,S Kolcharam,761c929e
info,registry,people,S Mannan,41b8a051
info,registry,people,S Sadarangani,acd030a0
info,registry,people,SR McAnanama-Brereton,bb1be934
info,registry,people,TE Britton,5eceeb7f
