match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384598,2023,2023-07-16,Marsa Sports Club,1,0.1,France,Malta,Zain Ahmad,HA Jackson,Fanyan Mughal,1,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,0.2,France,Malta,HA Jackson,Zain Ahmad,Fanyan Mughal,0,0,,,,,,caught,HA Jackson,,
1384598,2023,2023-07-16,Marsa Sports Club,1,0.3,France,Malta,Mukhtar Ghulami,Zain Ahmad,Fanyan Mughal,0,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,0.4,France,Malta,Mukhtar Ghulami,Zain Ahmad,Fanyan Mughal,1,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,0.5,France,Malta,Zain Ahmad,Mukhtar Ghulami,Fanyan Mughal,1,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,0.6,France,Malta,Mukhtar Ghulami,Zain Ahmad,Fanyan Mughal,0,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.1,France,Malta,Zain Ahmad,Mukhtar Ghulami,Waqas Ahmad,0,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.2,France,Malta,Zain Ahmad,Mukhtar Ghulami,Waqas Ahmad,0,0,,,,,,bowled,Zain Ahmad,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.3,France,Malta,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,0,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.4,France,Malta,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,0,1,1,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.5,France,Malta,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,4,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.6,France,Malta,Dawood Ahmadzai,Mukhtar Ghulami,Waqas Ahmad,1,0,,,,,,,,,
1384598,2023,2023-07-16,Marsa Sports Club,1,1.7,France,Malta,Mukhtar Ghulami,Dawood Ahmadzai,Waqas Ahmad,0,0,,,,,,caught,Mukhtar Ghulami,,
1384598,2023,2023-07-16,Marsa Sports Club,1,2.1,France,Malta,Dawood Ahmadzai,L Canessane,Fanyan Mughal,0,0,,,,,,,,,
