version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,Hong Kong
info,gender,male
info,season,2023
info,date,2023/10/03
info,event,Asian Games Men's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Hong Kong
info,toss_decision,field
info,umpire,Masudur Rahman
info,umpire,RSA Palliyaguruge
info,reserve_umpire,Asif Yaqoob
info,tv_umpire,Sarika Prasad
info,match_referee,Prakash Bhatt
info,winner,Pakistan
info,winner_runs,68
info,player,Pakistan,Omair Yousuf
info,player,Pakistan,Mirza Baig
info,player,Pakistan,Rohail Nazir
info,player,Pakistan,Haider Ali
info,player,Pakistan,Qasim Akram
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Asif Ali
info,player,Pakistan,Arafat Minhas
info,player,Pakistan,Aamer Jamal
info,player,Pakistan,Sufiyan Muqeem
info,player,Pakistan,Arshad Iqbal
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Muhammad Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,S Mathur
info,player,Hong Kong,Akbar Khan
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Hong Kong,Niaz Ali
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aamer Jamal,a8e54ef4
info,registry,people,Akbar Khan,6113433c
info,registry,people,Anas Khan,66a7f213
info,registry,people,Arafat Minhas,f2e8b37c
info,registry,people,Arshad Iqbal,ed031922
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Hamed Khan,0e4843d2
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mirza Baig,96ce6752
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,Muhammad Khan,f17ac7d0
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Niaz Ali,e33a357d
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Omair Yousuf,f8e3c0f8
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Qasim Akram,b6359668
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rohail Nazir,522bea89
info,registry,people,S Mathur,11378dda
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sufiyan Muqeem,4277234d
