version,2.2.0
info,balls_per_over,6
info,team,Ireland
info,team,Scotland
info,gender,female
info,season,2023/24
info,date,2023/10/24
info,event,Ireland Women v Scotland Women
info,match_number,2
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,SJ Bryce
info,umpire,Aidan Seaver
info,umpire,R Black
info,reserve_umpire,M Hawthorne
info,match_referee,Philip Thompson
info,winner,Scotland
info,winner_wickets,8
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,S MacMahon
info,player,Ireland,A Canning
info,player,Ireland,L Little
info,player,Ireland,G Dempsey
info,player,Ireland,C Murray
info,player,Ireland,A Dalzell
info,player,Ireland,AK Maguire
info,player,Scotland,PA Chatterji
info,player,Scotland,DEM Carter
info,player,Scotland,KE Bryce
info,player,Scotland,SJ Bryce
info,player,Scotland,AH Maqsood
info,player,Scotland,EL Watson
info,player,Scotland,HRA Rainey
info,player,Scotland,L Jack
info,player,Scotland,M McColl
info,player,Scotland,O Bell
info,player,Scotland,A Lister
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Dalzell,66498395
info,registry,people,A Hunter,e8fa03ed
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,AK Maguire,f888a374
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,C Murray,5a50471c
info,registry,people,DEM Carter,c3394c16
info,registry,people,EL Watson,45dd7433
info,registry,people,G Dempsey,940feccc
info,registry,people,GH Lewis,1b9d1579
info,registry,people,HRA Rainey,7027d12f
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Delany,b4f73b44
info,registry,people,L Jack,e565ceb7
info,registry,people,L Little,4f86926b
info,registry,people,M Hawthorne,ea123ee4
info,registry,people,M McColl,d5fa2ab3
info,registry,people,O Bell,385eac52
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,Philip Thompson,0c677650
info,registry,people,R Black,156c8fb1
info,registry,people,S MacMahon,ef2bcebf
info,registry,people,SJ Bryce,2ca65aee
