version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Uganda
info,gender,female
info,season,2023/24
info,date,2023/12/10
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,4
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Uganda
info,toss_decision,field
info,player_of_match,J Mbabazi
info,umpire,Habib Enesi
info,umpire,P Sizara
info,reserve_umpire,N Perera
info,match_referee,O Chirombe
info,winner,Uganda
info,winner_wickets,6
info,player,Rwanda,G Ishimwe
info,player,Rwanda,M Uwase
info,player,Rwanda,C Uwase
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,H Ishimwe
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,B Murekatete
info,player,Rwanda,I Muhawenimana
info,player,Rwanda,F Irakoze
info,player,Rwanda,MJ Tumukunde
info,player,Rwanda,Rosine Irera
info,player,Uganda,K Awino
info,player,Uganda,P Alako
info,player,Uganda,J Mbabazi
info,player,Uganda,S Nampiina
info,player,Uganda,R Musamali
info,player,Uganda,I Nakisuuyi
info,player,Uganda,C Aweko
info,player,Uganda,I Alumo
info,player,Uganda,E Anyipo
info,player,Uganda,L Anyait
info,player,Uganda,P Malemikia
info,registry,people,A Ikuzwe,6762a445
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Aweko,01c1b96c
info,registry,people,C Uwase,808bb510
info,registry,people,E Anyipo,d9e5ecb4
info,registry,people,F Irakoze,14f0a5e3
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,I Alumo,6edd8b10
info,registry,people,I Muhawenimana,2f37396f
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,L Anyait,cffeef53
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,MJ Tumukunde,026b815f
info,registry,people,N Perera,129709f9
info,registry,people,O Chirombe,6345307f
info,registry,people,P Alako,fcf37e14
info,registry,people,P Malemikia,554a83e5
info,registry,people,P Sizara,5d45bb7f
info,registry,people,R Musamali,017cadb2
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Nampiina,91d9aa26
