version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,Ireland
info,gender,male
info,season,2024
info,date,2024/06/07
info,event,ICC Men's T20 World Cup
info,match_number,13
info,venue,"Nassau County International Cricket Stadium, New York"
info,city,New York
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,NR Kirton
info,umpire,RA Kettleborough
info,umpire,SJ Nogajski
info,reserve_umpire,CB Gaffaney
info,tv_umpire,CM Brown
info,match_referee,RB Richardson
info,winner,Canada
info,winner_runs,12
info,player,Canada,A Johnson
info,player,Canada,NS Dhaliwal
info,player,Canada,Pargat Singh
info,player,Canada,DS Bajwa
info,player,Canada,NR Kirton
info,player,Canada,S Movva
info,player,Canada,D Heyliger
info,player,Canada,Saad Bin Zafar
info,player,Canada,Kaleem Sana
info,player,Canada,Junaid Siddiqui
info,player,Canada,JOA Gordon
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,player,Ireland,CA Young
info,registry,people,A Balbirnie,6ef13460
info,registry,people,A Johnson,a28a7fba
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,CA Young,bd0a4a7d
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CM Brown,448f4f1c
info,registry,people,D Heyliger,f8c72766
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Little,9061a703
info,registry,people,JOA Gordon,bb9b51f4
info,registry,people,Junaid Siddiqui,9025e58f
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,L Tucker,3979b5e0
info,registry,people,MR Adair,fc55ec67
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Pargat Singh,d2e67105
info,registry,people,RA Kettleborough,4017868f
info,registry,people,RB Richardson,410e2f12
info,registry,people,S Movva,ee229588
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Saad Bin Zafar,f28a60e0
