version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,England
info,gender,male
info,season,2024
info,date,2024/06/19
info,event,ICC Men's T20 World Cup
info,match_number,42
info,venue,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
info,city,Gros Islet
info,toss_winner,England
info,toss_decision,field
info,player_of_match,PD Salt
info,umpire,Ahsan Raza
info,umpire,Nitin Menon
info,reserve_umpire,CM Brown
info,tv_umpire,Sharfuddoula
info,match_referee,JJ Crowe
info,winner,England
info,winner_wickets,8
info,player,West Indies,BA King
info,player,West Indies,J Charles
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,AD Russell
info,player,West Indies,SE Rutherford
info,player,West Indies,R Shepherd
info,player,West Indies,RL Chase
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,G Motie
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,JM Bairstow
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,SM Curran
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,player,England,RJW Topley
info,registry,people,AD Russell,bbd41817
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,AU Rashid,249d60c9
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BA King,7fca84b7
info,registry,people,CM Brown,448f4f1c
info,registry,people,G Motie,97bdec3d
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Charles,09a9d073
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Bairstow,abb83e27
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,N Pooran,3241e3fd
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,R Powell,650d5e49
info,registry,people,R Shepherd,c5aef772
info,registry,people,RJW Topley,8db7f47f
info,registry,people,RL Chase,3feda4fa
info,registry,people,SE Rutherford,d014d5ac
info,registry,people,SM Curran,e94915e6
info,registry,people,Sharfuddoula,63896abb
