version,2.2.0
info,balls_per_over,6
info,team,India
info,team,England
info,gender,male
info,season,2024
info,date,2024/06/27
info,event,ICC Men's T20 World Cup
info,venue,"Providence Stadium, Guyana"
info,city,Providence
info,toss_winner,England
info,toss_decision,field
info,player_of_match,AR Patel
info,umpire,CB Gaffaney
info,umpire,RJ Tucker
info,reserve_umpire,PR Reiffel
info,tv_umpire,JS Wilson
info,match_referee,JJ Crowe
info,winner,India
info,winner_runs,68
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,RR Pant
info,player,India,SA Yadav
info,player,India,HH Pandya
info,player,India,RA Jadeja
info,player,India,S Dube
info,player,India,AR Patel
info,player,India,Arshdeep Singh
info,player,India,Kuldeep Yadav
info,player,India,JJ Bumrah
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,JM Bairstow
info,player,England,HC Brook
info,player,England,SM Curran
info,player,England,LS Livingstone
info,player,England,CJ Jordan
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,RJW Topley
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,HC Brook,4ae1755b
info,registry,people,HH Pandya,dbe50b21
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Bumrah,462411b3
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,PD Salt,3d284ca3
info,registry,people,PR Reiffel,c9354f29
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RJW Topley,8db7f47f
info,registry,people,RR Pant,919a3be2
info,registry,people,S Dube,a4e37e47
info,registry,people,SA Yadav,271f83cd
info,registry,people,SM Curran,e94915e6
info,registry,people,V Kohli,ba607b88
