version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,China
info,gender,male
info,season,2023/24
info,date,2024/02/14
info,event,East Asia Cup
info,match_number,1
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Hong Kong
info,toss_decision,bat
info,player_of_match,Anshuman Rath
info,umpire,John Prakash
info,umpire,SJ D'Cruz
info,reserve_umpire,H Tukrul
info,match_referee,Hasnain Kiani
info,winner,Hong Kong
info,winner_runs,123
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,JJ Atkinson
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Dhananjay Rao
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Zeeshan Ali
info,player,China,Wei Guo Lei
info,player,China,Huang Junjie
info,player,China,Deng Jinqi
info,player,China,Zhuang Zelin
info,player,China,Tian Sen Qun
info,player,China,Chen Zhuo Yue
info,player,China,Shenjian Zheng
info,player,China,Zhao Tianle
info,player,China,Zong Yuechao
info,player,China,Luo Shilin
info,player,China,Ma Qiancheng
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Chen Zhuo Yue,47b33198
info,registry,people,Deng Jinqi,871cf744
info,registry,people,Dhananjay Rao,6a11facf
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,H Tukrul,a2880cb1
info,registry,people,Hasnain Kiani,9cce25b7
info,registry,people,Huang Junjie,7a25958c
info,registry,people,JJ Atkinson,bf2d865c
info,registry,people,John Prakash,b5f3d429
info,registry,people,Luo Shilin,c251b048
info,registry,people,M Coetzee,3f149080
info,registry,people,Ma Qiancheng,91cc319d
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Shenjian Zheng,a127e6f5
info,registry,people,Tian Sen Qun,3883402f
info,registry,people,Wei Guo Lei,87c93848
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
info,registry,people,Zhao Tianle,023c40b8
info,registry,people,Zhuang Zelin,a03ee6e1
info,registry,people,Zong Yuechao,f5932ad2
