version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Qatar
info,gender,female
info,season,2023/24
info,date,2024/02/11
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,15
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Mas Elysa
info,umpire,Aasif Iqbal
info,umpire,Saleema Imtiaz
info,reserve_umpire,Shriya Kumari
info,match_referee,V Bowen
info,winner,Malaysia
info,winner_runs,39
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Wan Julia
info,player,Malaysia,Siow Tzin Yee
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,J Intan
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Qatar,SK Rana
info,player,Qatar,A Mare
info,player,Qatar,S Dhadwal
info,player,Qatar,Aysha
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,S Thapa
info,player,Qatar,SA Panayan
info,player,Qatar,Rizpha Bano
info,player,Qatar,KP Bhuva
info,player,Qatar,T Kale
info,player,Qatar,Taful Elkhair
info,registry,people,A Mare,57a25400
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Aysha,37ceee4e
info,registry,people,J Intan,2dfdd316
info,registry,people,KP Bhuva,138becd4
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Rizpha Bano,c7832845
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Shriya Kumari,5e452781
info,registry,people,Siow Tzin Yee,686b7194
info,registry,people,T Kale,bc9bd4c6
info,registry,people,Taful Elkhair,28086b4b
info,registry,people,V Bowen,7297ac4d
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
