version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Thailand
info,gender,female
info,season,2023/24
info,date,2024/02/14
info,event,Asian Cricket Council Women's Premier Cup
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,N Boochatham
info,umpire,Aasif Iqbal
info,umpire,N Perera
info,reserve_umpire,Shivani Mishra
info,tv_umpire,Gayathri Venugopal
info,match_referee,V Bowen
info,winner,Thailand
info,winner_wickets,3
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Hill
info,player,Hong Kong,NT Miles
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,M Wai Siu
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,N Boochatham
info,player,Thailand,S Khiaoto
info,player,Thailand,C Sutthiruang
info,player,Thailand,T Putthawong
info,player,Thailand,R Kanoh
info,player,Thailand,P Maya
info,player,Thailand,O Kamchomphu
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,Chayanisa Phengpaen
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,Chayanisa Phengpaen,ab45cae8
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Perera,129709f9
info,registry,people,NT Miles,d27d0835
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,V Bowen,7297ac4d
info,registry,people,Y Daswani,2038a273
