version,2.2.0
info,balls_per_over,6
info,team,Scotland
info,team,Ireland
info,gender,male
info,season,2024
info,date,2024/05/23
info,event,Netherlands Tri-Nation T20I Series
info,match_number,5
info,venue,"Sportpark Westvliet, The Hague"
info,city,The Hague
info,toss_winner,Scotland
info,toss_decision,bat
info,player_of_match,A Balbirnie
info,umpire,WPM van Liemt
info,umpire,Rizwan Akram
info,reserve_umpire,N Bathi
info,match_referee,Phil Whitticase
info,winner,Ireland
info,winner_wickets,5
info,player,Scotland,HG Munsey
info,player,Scotland,OJ Hairs
info,player,Scotland,MA Jones
info,player,Scotland,RD Berrington
info,player,Scotland,MH Cross
info,player,Scotland,MA Leask
info,player,Scotland,CN Greaves
info,player,Scotland,MRJ Watt
info,player,Scotland,CB Sole
info,player,Scotland,SM Sharif
info,player,Scotland,BJ Currie
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,CA Young
info,player,Ireland,B White
info,registry,people,A Balbirnie,6ef13460
info,registry,people,B White,1a448be0
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,CA Young,bd0a4a7d
info,registry,people,CB Sole,469ccead
info,registry,people,CN Greaves,f42064d5
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HG Munsey,ff014c34
info,registry,people,HT Tector,59ea70a4
info,registry,people,JJ Davidson,068c47d2
info,registry,people,L Tucker,3979b5e0
info,registry,people,MA Jones,05f96194
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MR Adair,fc55ec67
info,registry,people,MRJ Watt,1252f71a
info,registry,people,N Bathi,96a0edf9
info,registry,people,OJ Hairs,c8a7b014
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,WPM van Liemt,2bd48588
