version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,South Africa
info,gender,female
info,season,2024/25
info,date,2024/10/04
info,event,ICC Women's T20 World Cup
info,match_number,3
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,N Mlaba
info,umpire,N Perera
info,umpire,VG Rathi
info,reserve_umpire,Eloise Sheridan
info,tv_umpire,Kim Cotton
info,match_referee,JM Pereira
info,winner,South Africa
info,winner_wickets,10
info,player,West Indies,HK Matthews
info,player,West Indies,Q Joseph
info,player,West Indies,SR Taylor
info,player,West Indies,DJS Dottin
info,player,West Indies,SA Campbelle
info,player,West Indies,CA Henry
info,player,West Indies,AA Alleyne
info,player,West Indies,Z James
info,player,West Indies,ASS Fletcher
info,player,West Indies,K Ramharack
info,player,West Indies,SS Connell
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,A Bosch
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,N de Klerk
info,player,South Africa,A Dercksen
info,player,South Africa,S Jafta
info,player,South Africa,N Mlaba
info,player,South Africa,A Khaka
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Khaka,0d518f89
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,CA Henry,75820733
info,registry,people,CL Tryon,4d4605e6
info,registry,people,DJS Dottin,53bee17f
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,HK Matthews,d32cf49a
info,registry,people,JM Pereira,f9a4a039
info,registry,people,K Ramharack,321c980e
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,M Kapp,63e3b6b3
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,Q Joseph,d6164dc0
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SR Taylor,92cf79a8
info,registry,people,SS Connell,2f9a6bd1
info,registry,people,T Brits,06659caa
info,registry,people,VG Rathi,144e5b16
info,registry,people,Z James,816af623
