version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Kenya
info,gender,female
info,season,2024
info,date,2024/06/03
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,16
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Kenya
info,toss_decision,field
info,player_of_match,A Ikuzwe
info,umpire,D Hagenimana
info,umpire,T Musakwa
info,reserve_umpire,Gaston Niyibizi
info,winner,Rwanda
info,winner_runs,52
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,H Ishimwe
info,player,Rwanda,C Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,Rosine Irera
info,player,Rwanda,J Nyirankundineza
info,player,Rwanda,R Shimwamana
info,player,Kenya,Q Abel
info,player,Kenya,E Wachira
info,player,Kenya,V Abuga
info,player,Kenya,V Ooko
info,player,Kenya,L Idambo
info,player,Kenya,C Muthoni
info,player,Kenya,M Ahono
info,player,Kenya,JS Ndanu
info,player,Kenya,A Wanjira
info,player,Kenya,F Odhiambo
info,player,Kenya,J Ajiambo
info,registry,people,A Ikuzwe,6762a445
info,registry,people,A Wanjira,b6015231
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Muthoni,f85462b1
info,registry,people,C Uwase,808bb510
info,registry,people,D Hagenimana,de167462
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,J Ajiambo,c3a998fa
info,registry,people,J Nyirankundineza,7e7d2fe5
info,registry,people,JS Ndanu,c27e0638
info,registry,people,L Idambo,27339093
info,registry,people,M Ahono,8e0043dd
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,Q Abel,2e988457
info,registry,people,R Shimwamana,03fb10bd
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,T Musakwa,5f925536
info,registry,people,V Abuga,1ce58052
info,registry,people,V Ooko,2ae76bf6
