version,2.2.0
info,balls_per_over,6
info,team,Uganda
info,team,Rwanda
info,gender,female
info,season,2024
info,date,2024/06/05
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,23
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,I Nakisuuyi
info,umpire,R Singinzwa
info,umpire,TJ Onikoyi
info,reserve_umpire,V Iriho
info,winner,Uganda
info,winner_runs,12
info,player,Uganda,J Mbabazi
info,player,Uganda,I Nakisuuyi
info,player,Uganda,K Awino
info,player,Uganda,S Nampiina
info,player,Uganda,P Alako
info,player,Uganda,R Musamali
info,player,Uganda,M Ariokot
info,player,Uganda,S Walaza
info,player,Uganda,A Akurut
info,player,Uganda,C Aweko
info,player,Uganda,L Anyait
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,G Ishimwe
info,player,Rwanda,M Uwase
info,player,Rwanda,S Niyomuhoza
info,player,Rwanda,H Ishimwe
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,C Uwase
info,player,Rwanda,Geovanis Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,Rosine Irera
info,player,Rwanda,I Muhawenimana
info,registry,people,A Akurut,b93b7337
info,registry,people,A Ikuzwe,6762a445
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Aweko,01c1b96c
info,registry,people,C Uwase,808bb510
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Geovanis Uwase,088f22fd
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,I Muhawenimana,2f37396f
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,L Anyait,cffeef53
info,registry,people,M Ariokot,c328bc6c
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,P Alako,fcf37e14
info,registry,people,R Musamali,017cadb2
info,registry,people,R Singinzwa,0e58e89d
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Niyomuhoza,a5424013
info,registry,people,S Walaza,f67ea6d2
info,registry,people,TJ Onikoyi,b68d9bc6
info,registry,people,V Iriho,2853eafb
