version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Kuwait
info,gender,male
info,season,2024
info,date,2024/08/21
info,event,Malaysia Tri-Nation T20I Series
info,match_number,1
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Kuwait
info,toss_decision,field
info,umpire,John Prakash
info,umpire,Mudassar Rasool
info,reserve_umpire,N Sivan
info,match_referee,R Madhavan
info,winner,Kuwait
info,winner_wickets,4
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Ateeq Iqbal
info,player,Hong Kong,A Shukla
info,player,Kuwait,CV Anto
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Muhammad Umar
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Nimish Lathief
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Nawaf Ahmed
info,player,Kuwait,Yasin Patel
info,registry,people,A Shukla,a1e80d06
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,John Prakash,b5f3d429
info,registry,people,M Coetzee,3f149080
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mudassar Rasool,d5bf4c14
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nawaf Ahmed,bfe33045
info,registry,people,Nimish Lathief,b561e8ea
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,R Madhavan,d0cff8fd
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zeeshan Ali,987187b9
