version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,Oman
info,gender,male
info,season,2024
info,date,2024/09/30
info,event,Canada T20 Tri-Series
info,match_number,3
info,venue,"Maple Leaf North-West Ground, King City"
info,city,King City
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,Aqib Ilyas
info,umpire,AR Maddela
info,umpire,R Shah
info,reserve_umpire,Bijal Patel
info,match_referee,Neeyamur Rashid
info,winner,Oman
info,winner_wickets,8
info,player,Canada,NS Dhaliwal
info,player,Canada,A Johnson
info,player,Canada,DS Bajwa
info,player,Canada,NR Kirton
info,player,Canada,S Movva
info,player,Canada,H Thaker
info,player,Canada,Saad Bin Zafar
info,player,Canada,D Heyliger
info,player,Canada,Parveen Kumar
info,player,Canada,Kaleem Sana
info,player,Canada,Akhil Kumar
info,player,Oman,Aqib Ilyas
info,player,Oman,KH Prajapati
info,player,Oman,Shoaib Khan
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Fayyaz Butt
info,player,Oman,Khalid Kail
info,player,Oman,PS Athavale
info,player,Oman,Shakeel Ahmed
info,player,Oman,Ayan Khan
info,player,Oman,Kaleemullah
info,player,Oman,Rafiullah
info,registry,people,A Johnson,a28a7fba
info,registry,people,AR Maddela,5c861579
info,registry,people,Akhil Kumar,2feb5b8d
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Bijal Patel,a56e35ba
info,registry,people,D Heyliger,f8c72766
info,registry,people,DS Bajwa,e3540b8c
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,H Thaker,c01d7726
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleem Sana,14810ee7
info,registry,people,Kaleemullah,72253b87
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,NR Kirton,6b75c2b1
info,registry,people,NS Dhaliwal,cbabd6ad
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,PS Athavale,c2f12310
info,registry,people,Parveen Kumar,e6b3c3cc
info,registry,people,R Shah,3424e050
info,registry,people,Rafiullah,369cc49c
info,registry,people,S Movva,ee229588
info,registry,people,Saad Bin Zafar,f28a60e0
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Zeeshan Maqsood,34464143
