version,2.2.0
info,balls_per_over,6
info,team,Greece
info,team,Spain
info,gender,female
info,season,2024
info,date,2024/09/22
info,event,Spain Women tour of Greece
info,match_number,4
info,venue,"Marina Ground, Corfu"
info,city,Corfu
info,toss_winner,Spain
info,toss_decision,field
info,player_of_match,NH Berejo
info,umpire,C Vassilas
info,umpire,Ioannis Afthinos
info,reserve_umpire,L Goustis
info,winner,Spain
info,winner_wickets,9
info,player,Greece,M Syrioti
info,player,Greece,M Polimeri
info,player,Greece,A Gisdaki
info,player,Greece,A Argyropoulou
info,player,Greece,A Makri
info,player,Greece,M Vervitsioti
info,player,Greece,S Georgota
info,player,Greece,A Savvani
info,player,Greece,T Skordili
info,player,Greece,E Kallous
info,player,Greece,T Parisi-mesimeri
info,player,Spain,A Hartley
info,player,Spain,NH Berejo
info,player,Spain,EMC Fowler
info,player,Spain,P Chilongia
info,player,Spain,A Davidson-Soler
info,player,Spain,Uswa Syed
info,player,Spain,Tashiba Mirza
info,player,Spain,KR Frost
info,player,Spain,Memoona Riaz
info,player,Spain,LD Chukkapalli-Llinares
info,player,Spain,A Brown-Carrera
info,registry,people,A Argyropoulou,3f1bfd19
info,registry,people,A Brown-Carrera,9e866d80
info,registry,people,A Davidson-Soler,71d6fd2c
info,registry,people,A Gisdaki,f8fc699a
info,registry,people,A Hartley,e31c12c3
info,registry,people,A Makri,98affc04
info,registry,people,A Savvani,5d006a1a
info,registry,people,C Vassilas,5fe71db5
info,registry,people,E Kallous,0680ff7f
info,registry,people,EMC Fowler,4f88a917
info,registry,people,Ioannis Afthinos,953c72cb
info,registry,people,KR Frost,160c90b1
info,registry,people,L Goustis,f070d80e
info,registry,people,LD Chukkapalli-Llinares,27b50a31
info,registry,people,M Polimeri,35ccd83f
info,registry,people,M Syrioti,f9df0aa2
info,registry,people,M Vervitsioti,6fd40892
info,registry,people,Memoona Riaz,3c5a7deb
info,registry,people,NH Berejo,a9ec2608
info,registry,people,P Chilongia,764d8336
info,registry,people,S Georgota,d07b6842
info,registry,people,T Parisi-mesimeri,c002a904
info,registry,people,T Skordili,60d0efc4
info,registry,people,Tashiba Mirza,2020d4fd
info,registry,people,Uswa Syed,cbc0e027
