version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Bhutan
info,gender,male
info,season,2024/25
info,date,2024/11/19
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,2
info,venue,University of Doha for Science and Technology
info,city,Doha
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,Waseem Muhammad
info,umpire,BB Pradhan
info,umpire,Izatullah Safi
info,reserve_umpire,Shivani Mishra
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_runs,63
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,United Arab Emirates,Nilansh Keswani
info,player,Bhutan,S Pradhan
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,J Singye
info,player,Bhutan,RM Dorji
info,player,Bhutan,T Jamtsho
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,GK Ghalley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Tshering Tashi
info,player,Bhutan,Karma Dorji
info,player,Bhutan,S Yeshi
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,D Parashar,395179e8
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,J Singye,28574428
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Karma Dorji,80058153
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Nilansh Keswani,424a7994
info,registry,people,R Chopra,a71d0f89
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Tshering Tashi,596c60cf
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zuhaib Zubair,9124aa4c
