version,2.2.0
info,balls_per_over,6
info,team,Rwanda
info,team,Nigeria
info,gender,male
info,season,2024/25
info,date,2024/12/04
info,event,Africa Continental Cup
info,match_number,2
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,IO Okpe
info,umpire,IO Oyieko
info,umpire,Patric Makumbi
info,reserve_umpire,Gasana Christian
info,match_referee,ET Dube
info,winner,Nigeria
info,winner_wickets,6
info,method,D/L
info,player,Rwanda,O Manishimwe
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,I Niyomugabo
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,D Gumyusenge
info,player,Rwanda,RJ Pierre
info,player,Rwanda,E Rukiriza
info,player,Rwanda,M Akayezu
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,I Ntirenganya
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,Selim Salau
info,player,Nigeria,O Olaleye
info,player,Nigeria,I Danladi
info,player,Nigeria,SA Okpe
info,player,Nigeria,IO Okpe
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,Mohameed Taiwo
info,player,Nigeria,I Uboh
info,player,Nigeria,M Akhigbe
info,player,Nigeria,P Aho
info,registry,people,D Gumyusenge,eeb78e0a
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,ET Dube,4c0891bc
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,I Danladi,c156cc1f
info,registry,people,I Niyomugabo,72bf5103
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,I Uboh,baf3cf01
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,IO Oyieko,de4828fa
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Akhigbe,32613355
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Olaleye,811785d2
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,P Aho,2e392afa
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,RJ Pierre,4fc115af
info,registry,people,SA Okpe,681f522f
info,registry,people,Selim Salau,d18d3a0f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,Z Bimenyimana,ba57fb08
