version,2.2.0
info,balls_per_over,6
info,team,Oman
info,team,Bahrain
info,gender,male
info,season,2024/25
info,date,2024/12/17
info,event,Gulf T20I Championship
info,match_number,10
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Mohammad Nadeem
info,umpire,Mohammad Nasim
info,umpire,Rahat Ali
info,reserve_umpire,Shiju Sam
info,tv_umpire,Zahid Usman
info,match_referee,Iftikhar Ali
info,winner,Oman
info,winner_runs,2
info,player,Oman,Aamir Kaleem
info,player,Oman,Jatinder Singh
info,player,Oman,Mohammad Nadeem
info,player,Oman,Hammad Mirza
info,player,Oman,Wasim Ali
info,player,Oman,V Shukla
info,player,Oman,Sufyan Mehmood
info,player,Oman,Mehran Khan
info,player,Oman,Shakeel Ahmed
info,player,Oman,Jay Odedra
info,player,Oman,S Shrivastava
info,player,Bahrain,P Kurup
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Asif Ali
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Imran Anwar
info,player,Bahrain,S Sarthak
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Imran Khan
info,player,Bahrain,Abdul Majid Abbasi
info,registry,people,Aamir Kaleem,7ecb9a14
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Hammad Mirza,0b7b78c6
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,Jay Odedra,526e006d
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,Mehran Khan,d7bfcc0b
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Mohammad Nasim,0aaa8310
info,registry,people,P Kurup,50ceaef6
info,registry,people,Rahat Ali,458161f4
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Sarthak,9f2c6cd3
info,registry,people,S Shrivastava,ac166f77
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Sufyan Mehmood,bf172ae6
info,registry,people,V Shukla,101b1180
info,registry,people,Wasim Ali,ea59139a
info,registry,people,Zahid Usman,5ee3b5bd
