version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Indonesia
info,gender,male
info,season,2024/25
info,date,2025/02/22
info,event,Bahrain tour of Indonesia
info,match_number,3
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,PR Surve
info,umpire,F Shony
info,umpire,Suresh Subramanian
info,winner,Indonesia
info,winner_wickets,8
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,P Kurup
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Muhammed Basil
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,S Sarthak
info,player,Bahrain,Asif Shaikh
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Gaurav Tiwari
info,player,Indonesia,J Dzulfikar
info,player,Indonesia,PR Surve
info,player,Indonesia,F Banunaek
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,KC Ramamoorthy
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IK Gamantika
info,player,Indonesia,Ahmad Ramdoni
info,player,Indonesia,RM Koda
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmad Ramdoni,b5f30525
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Asif Shaikh,231daa19
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,F Shony,85712af4
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Gaurav Tiwari,cab3f89a
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKEG Artawan,190957d2
info,registry,people,Imran Khan,da3b91fd
info,registry,people,J Dzulfikar,05ea0342
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,KC Ramamoorthy,a89c270b
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,Muhammed Basil,457e6a8e
info,registry,people,P Kurup,50ceaef6
info,registry,people,PR Surve,206efeb1
info,registry,people,RM Koda,f0a45427
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Sarthak,9f2c6cd3
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Suresh Subramanian,4e869e23
