version,2.2.0
info,balls_per_over,6
info,team,Vanuatu
info,team,France
info,gender,female
info,season,2024/25
info,date,2025/03/11
info,event,The Pacific-France Women Championship
info,match_number,2
info,venue,"N'Du Stadium, Noumea, New Caledonia"
info,city,Noumea
info,toss_winner,Vanuatu
info,toss_decision,bat
info,player_of_match,S Solman
info,winner,Vanuatu
info,winner_runs,78
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,A Chilia
info,player,Vanuatu,V Mansale
info,player,Vanuatu,V Vira
info,player,Vanuatu,G Chilia
info,player,Vanuatu,M Tarimiala
info,player,Vanuatu,N Kakor
info,player,Vanuatu,S Stephen
info,player,France,F Cagnewa
info,player,France,L Wahmowe
info,player,France,K Moingoto
info,player,France,A Konhu
info,player,France,NJ Qaeze
info,player,France,R Siwa
info,player,France,N Ihmeling
info,player,France,N Kaqea
info,player,France,S Rokuad
info,player,France,G Jaine
info,player,France,V Kai
info,registry,people,A Chilia,a0d07fd6
info,registry,people,A Konhu,c7071bf6
info,registry,people,F Cagnewa,80d1b020
info,registry,people,G Chilia,daf255ce
info,registry,people,G Jaine,be7a4419
info,registry,people,K Moingoto,4325e7ae
info,registry,people,L Wahmowe,c0f5447e
info,registry,people,M Tarimiala,0030a57d
info,registry,people,N Ihmeling,621c0753
info,registry,people,N Kakor,1bc685ee
info,registry,people,N Kaqea,46eff2dc
info,registry,people,N Navaika,b0023708
info,registry,people,NJ Qaeze,d4992df7
info,registry,people,R Andrew,66c1accf
info,registry,people,R Siwa,bd2a2bbc
info,registry,people,S Rokuad,27b6d24d
info,registry,people,S Solman,24ed1f75
info,registry,people,S Stephen,b48304b5
info,registry,people,V Kai,d7d8f0ed
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
