version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Argentina
info,gender,female
info,season,2024/25
info,date,2025/03/13
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,5
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,field
info,player_of_match,AI Chudasama
info,umpire,C La Borde
info,umpire,JM Williams
info,reserve_umpire,M Abbott
info,tv_umpire,Jermaine Lindo
info,match_referee,Denavon Hayles
info,winner,United States of America
info,winner_runs,71
info,player,United States of America,D Dhingra
info,player,United States of America,GC Bhogle
info,player,United States of America,E Claridge
info,player,United States of America,CR Pagydyala
info,player,United States of America,A Kolan
info,player,United States of America,IM Vaghela
info,player,United States of America,RP Singh
info,player,United States of America,AI Chudasama
info,player,United States of America,G Kodali
info,player,United States of America,TG Norris
info,player,United States of America,S Immadi
info,player,Argentina,A Galan
info,player,Argentina,M Lollo
info,player,Argentina,M Martinez
info,player,Argentina,M Castineiras
info,player,Argentina,A Stocks
info,player,Argentina,JC Cullen
info,player,Argentina,L Taylor
info,player,Argentina,A Prince
info,player,Argentina,C Sosa
info,player,Argentina,MV Lehmann
info,player,Argentina,M Bestani
info,registry,people,A Galan,ad5165c2
info,registry,people,A Kolan,85f5735b
info,registry,people,A Prince,da994dd7
info,registry,people,A Stocks,c999c416
info,registry,people,AI Chudasama,9414a81c
info,registry,people,C La Borde,32157f67
info,registry,people,C Sosa,b2f4cb0d
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,E Claridge,d8c6a647
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JC Cullen,22595a2d
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,L Taylor,8af91a3e
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Bestani,e8045847
info,registry,people,M Castineiras,b9094958
info,registry,people,M Lollo,e6d1f4bb
info,registry,people,M Martinez,f0ddeafb
info,registry,people,MV Lehmann,d2c61d83
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Immadi,a6dd06d6
info,registry,people,TG Norris,8ae7bb3e
